"Comm","colors"
"Dictyopteris","#C18748"
"Dictyota","#A28646"
"Halimeda","#838645"
"Hard coral","#768041"
"Hormophysa","#A36C34"
"Laurencia","#CF5827"
"Lobophora","#E05F30"
"Other","#D8834E"
"Sargassopsis","#D0A86D"
"Sargassum","#98AC7F"
"Substrate","#51A58E"
"Turbinaria","#0A9F9D"
